person age,person income,person emp length,loan amnt,loan int rate,loan percent income,cb person cred hist length,person home ownership MORTGAGE,person home ownership OTHER,person home ownership OWN,person home ownership RENT,loan intent DEBTCONSOLIDATION,loan intent EDUCATION,loan intent HOMEIMPROVEMENT,loan intent MEDICAL,loan intent PERSONAL,loan intent VENTURE,cb person default on file N,cb person default on file Y
0.18499205,0.5716639,0.3854913,0.048861608,0.4238434,0.45979378,0.18560703,0.017112868,0.0005351683,0.116145134,0.16239288,0.10776184,0.019609984,0.106918655,0.08207937,0.15409142,0.06923491,0.024011314,0.006525104
0.25441918,3.6775694,0.25244612,0.16182359,0.6094794,3.8529482,0.22747995,0.3420801,0.0005818797,0.07707701,0.598539,0.02696887,0.06708982,0.08294016,0.0043815332,0.0016614236,0.03380677,0.015336167,0.002749678
0.26298317,0.641953,0.34572825,0.028342359,0.03990341,0.19300568,0.3516186,0.020045562,0.00048579936,0.08985331,0.22646831,0.10016829,0.108691536,0.05909758,0.0760296,0.04618384,0.050700948,0.23424536,0.013684523
0.16949764,1.0619774,0.19400837,0.1113926,0.18750201,0.4658543,0.176178,0.026758337,9.792011e-05,0.08320681,0.29745725,0.11564191,0.011452961,0.07177096,0.0696998,0.027945248,0.6228577,0.11081805,0.011480411
0.051360797,0.08154061,0.3531243,0.04373382,0.73206615,1.85956,0.22323304,0.16527197,0.00082436,3.492902,1.7912118,0.061331145,0.034220755,0.13144645,0.080677,0.050198283,0.08576372,0.03206375,0.01137079
0.37235826,1.1049244,0.36355376,0.059425283,1.6310546,0.3030835,0.44395354,0.041962255,0.0002252118,0.06833242,0.25354388,0.13092561,0.12072742,0.09575881,0.065713175,0.02204659,0.14146213,0.06505199,0.0026336994
0.029556043,0.52481925,0.40148187,0.033197716,0.14781047,0.5491304,0.33421633,0.018716034,0.0012277798,0.09295511,0.14597286,0.070345044,0.03693931,0.1507996,0.06703203,0.0241373,0.83751875,0.124788806,0.010619781
0.29467946,0.3270771,0.42335704,0.39031476,0.24962789,0.4622592,0.24803603,0.015901614,0.00029845163,0.08299445,0.23182508,0.06905264,0.027993146,0.08469602,0.18687816,0.0034656927,0.10074264,0.1016888,0.0012154011
0.17692004,0.8897617,0.34151375,0.081805184,1.3347294,0.8320838,0.29258665,0.004206684,0.00017337805,0.06674086,0.12311388,0.09567758,0.042092636,0.09465417,0.043934673,0.024456346,0.14392066,0.063668974,0.0071955165
0.1266072,0.8537719,0.17584829,0.07453925,0.7532867,0.7714191,0.18092743,0.0023392313,0.00025104708,0.0731849,0.1367918,0.08503899,0.0024370675,0.083890855,0.065051876,0.15158829,0.14203824,0.095074646,0.0070761796
0.27020445,0.7878147,0.101144105,0.2038238,2.0268838,0.6684703,0.22613758,0.008897333,0.0014492254,0.091095954,0.24464753,0.051185533,0.0012134083,0.16827138,0.0117404545,0.01441524,1.0088232,0.11440824,0.015958589
0.1702135,0.2504897,0.33183587,0.085317835,0.33067548,0.6338819,0.3879012,0.054350756,2.9341001e-05,0.10553269,0.095522545,0.0728333,0.059326414,0.20495057,0.17306775,0.021345321,0.05483376,0.1989245,0.010084136
0.080404185,0.7859594,0.1899337,0.04640143,0.281977,0.7618707,0.41978738,0.018522317,0.00018339482,0.084871225,0.09626924,0.0740416,0.015322954,0.08138446,0.17795432,0.012594413,0.066177964,0.0613737,0.0021758524
0.21462987,1.2790912,0.01568416,0.10446752,0.26042545,0.31559917,0.19412942,0.040528312,0.00021248822,0.08138462,0.262164,0.10430407,0.046457615,0.07417009,0.08125043,0.02478786,0.1406542,0.05400219,0.0078757815
0.18218596,0.41370812,0.22961114,0.016025418,0.5789111,0.5393272,0.12493724,0.017429693,0.00083703967,0.09683863,0.14832725,0.05100214,0.0005442939,0.12007975,0.09113302,0.0028609468,0.12716877,0.062368702,0.006222893
0.31195056,0.22114658,0.13849522,0.83134437,0.2971411,4.008554,0.20043471,0.4233143,0.00093885965,0.13193443,1.0588534,0.054651868,0.0154045345,0.045451835,0.05490286,0.0016652924,0.5396921,0.09500659,0.011814183
0.26671728,0.9160492,0.30498677,0.022393651,0.48131147,0.38336188,0.18581668,0.043838553,0.00020458185,0.07063946,0.32060677,0.46897173,0.0038849588,0.06583738,0.06558742,0.025397949,0.116391055,0.08951855,0.013883736
0.1915128,0.8581375,0.24335465,0.059985492,0.61616206,0.51681876,0.10837769,0.004562722,0.00029610225,0.06741475,0.105203316,0.35717228,0.0020224522,0.08894005,0.022783125,0.015122497,0.09796382,0.09795488,0.0069477158
0.18422109,0.63367975,0.24570747,0.0029056235,0.42012528,0.68918985,0.07429167,0.004762913,0.00018339482,0.07826887,0.12068224,0.33088538,0.009524816,0.07134492,0.066759706,0.023995077,0.054585394,0.26204932,0.027720146
